depth,mode,step,seed,free_answer_accuracy,free_exact_continuation,terminal_query,terminal_state_mass,terminal_state_argmax_accuracy,local_query_status,local_rule_accuracy,local_rule_tv,local_state_mass,local_state_mass_min,local_context_variation_tv,epsilon_rule,gamma,composition_tv_with_invalid,composition_tv_conditional,product_answer_accuracy,gradient_query,gradient_actual_norm,gradient_predicted_norm,gradient_cosine,gradient_relative_error,gradient_rule_pullback_norm,gradient_rule_cosine,descent_oracle_rule_cosine,descent_random_rule_cosine_mean,descent_random_rule_cosine_std,gradient_actual_loss,gradient_predicted_loss
2,both,0,46,0.0,0.0,direct answer conditioned on COLON,0.15423735976219177,0.125,gold-prefix trace readout; conditioned on valid state token,0.06490384787321091,0.9370343685150146,0.21658039093017578,0.1220138669013977,0.1710420697927475,0.08507728576660156,0.29149767756462097,0.8485687375068665,0.3293873369693756,0.0625,mixed only; direct answer CE; first-step local tables,6.55344295501709,4.9605937004089355,0.4185088331643009,0.9692211613783497,0.1166626513004303,0.05910044658536401,0.04244631732719802,-0.012225471509569815,0.04037537535725764,4.7527570724487305,3.2495954036712646
2,process,100,46,0.44140625,0.40625,after greedy trace; not a marginal over traces,0.9999898672103882,0.3499999940395355,gold-prefix trace readout; conditioned on valid state token,0.6538461446762085,0.46505582332611084,0.9976674318313599,0.9040354490280151,0.06747636198997498,1.08082115650177,0.13102298974990845,0.6256920099258423,0.625691831111908,0.3499999940395355,,,,,,,,,,,,
2,outcome,100,46,0.328125,0.328125,direct answer conditioned on COLON,0.997532069683075,0.22499999403953552,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,100,46,0.35546875,0.35546875,direct answer conditioned on COLON,0.9966915249824524,0.20000000298023224,gold-prefix trace readout; conditioned on valid state token,0.5961538553237915,0.5705085396766663,0.9941235780715942,0.7632732391357422,0.07308663427829742,1.0807712078094482,0.13791297376155853,0.24100056290626526,0.2396666556596756,0.25,mixed only; direct answer CE; first-step local tables,6.924859523773193,7.717844009399414,0.6908721037877753,0.8379542947304535,4.2126312255859375,0.10243182076445166,0.08432075202995647,-0.09238725920205533,0.1838136846856443,2.409036636352539,2.4428560733795166
2,process,500,46,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.0011497442610561848,0.9999952912330627,0.998818039894104,0.00036839768290519714,1.00154447555542,0.001418260857462883,0.0023396534379571676,0.0023396476171910763,1.0,,,,,,,,,,,,
2,outcome,500,46,0.5390625,0.5390625,direct answer conditioned on COLON,0.9989724159240723,0.4625000059604645,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,500,46,0.54296875,0.54296875,direct answer conditioned on COLON,0.9976183772087097,0.42500001192092896,gold-prefix trace readout; conditioned on valid state token,0.9807692170143127,0.07017060369253159,0.9995497465133667,0.8737865090370178,0.025292547419667244,1.227648138999939,0.09561283886432648,0.604095995426178,0.6033544540405273,0.987500011920929,mixed only; direct answer CE; first-step local tables,8.742300987243652,3.8925411701202393,0.112743953696902,1.0477839616963822,3.655937910079956,0.1060823428824765,0.07142594206626156,-0.019875175457772072,0.06214113839562065,2.1897120475769043,0.19837071001529694
2,process,1000,46,1.0,1.0,after greedy trace; not a marginal over traces,1.0,1.0,gold-prefix trace readout; conditioned on valid state token,1.0,0.00029834386077709496,0.999998152256012,0.9995439648628235,9.803188004298136e-05,1.0002769231796265,0.0003409043711144477,0.0006206840625964105,0.0006206810940057039,1.0,,,,,,,,,,,,
2,outcome,1000,46,0.59375,0.59375,direct answer conditioned on COLON,0.999614417552948,0.5,omitted: trace query is out of distribution,,,,,,,,,,,,,,,,,,,,,,
2,both,1000,46,0.67578125,0.67578125,direct answer conditioned on COLON,0.9983607530593872,0.5249999761581421,gold-prefix trace readout; conditioned on valid state token,0.9963942170143127,0.018233131617307663,0.9996932744979858,0.924480140209198,0.00993796531111002,1.1646645069122314,0.06686440110206604,0.5722681283950806,0.5717119574546814,1.0,mixed only; direct answer CE; first-step local tables,7.833072662353516,0.7223628163337708,0.24284017893274415,0.9816889655316834,0.6792305111885071,0.23248438740301977,0.02962186708882142,0.015500158279658066,0.04699277205862294,1.1957154273986816,0.02922794409096241
