condition,trace_fraction,depth,seed,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,probe_seconds
both,0.5,4,2003,4000,0.3,0.07619793565488568,1.2160556329748595,0.9927884615384616,0.9674111060543846,3.5657324879624164,0.9997858297825537,0.8785560511211661,0.8600628870936242,0.9875,0.1525,0.9997883452129167,3,,,,,,,,,5.6
both,0.5,4,2003,6000,0.345,0.02005117897157484,1.0382216989597832,1.0,0.9398723416788367,1.1545997633230733,0.9999095714079658,0.8310421810433236,0.8298144535583545,1.0,0.255,0.999950697432431,3,2.347774279677407,0.949540269167469,"{""1"": 0.9411951893790996, ""0.5"": 0.9650162961905754, ""0.25"": 0.21974439420255698, ""0.125"": 0.028955523283871062, ""0.0625"": 0.0036317326326447967, ""0.03125"": 0.00045406295888555617}","{""1"": 1.0382216989597832, ""0.5"": 0.5191108494798916, ""0.25"": 0.2595554247399458, ""0.125"": 0.1297777123699729, ""0.0625"": 0.06488885618498645, ""0.03125"": 0.032444428092493226}",2.274645775815282,0.9529896642076653,"{""1"": 0.9398723416788366, ""0.5"": 0.9649077103639029, ""0.25"": 0.21979494066438945, ""0.125"": 0.029171719981528052, ""0.0625"": 0.0038672448938715876, ""0.03125"": 0.0006216904635830368}","{""1"": 1.0382216989597832, ""0.5"": 0.5191108494798916, ""0.25"": 0.2595554247399458, ""0.125"": 0.1297777123699729, ""0.0625"": 0.06488885618498645, ""0.03125"": 0.032444428092493226}",6.8
outcome,0.5,4,2001,0,0.0,0.18921692811711893,0.015488909831897324,0.0625,0.8909851540678093,17.6131327261958,8.683958267670582e-06,0.2841692937411429,0.033429576071241626,0.0475,0.0825,5.710504933304631e-06,3,,,,,,,,,2.5
outcome,0.5,4,2001,250,0.135,0.32853696467223364,0.9669569008386572,0.1622596153846154,2.99981624020217,438.1162481471362,2.3113483218086844e-06,0.33546273257847786,0.04861563702528229,0.07,0.135,0.9799981943661789,3,,,,,,,,,2.2
outcome,0.5,4,2001,500,0.095,0.28071390756271664,1.0176125227086983,0.22716346153846154,10.371523538988809,3703.511836005044,7.730156333061411e-07,0.34229356393894894,0.05276555587338087,0.0825,0.115,0.9903356969766444,3,,,,,,,,,2.1
outcome,0.5,4,2001,1000,0.145,0.6269680664313325,1.2431533403564083,0.15745192307692307,30.965241495105765,12279.438304407375,0.00014588544146519942,0.46029925396294,0.08617406963438784,0.065,0.1625,0.9964200773104046,3,,,,,,,,,2.2
outcome,0.5,4,2001,2000,0.2225,0.6053669524982642,1.6527875973451012,0.16346153846153846,376.0545712783315,333374.1508745709,0.006714963798688962,0.617648042696914,0.12968743087927062,0.0875,0.23,0.997719460735537,3,,,,,,,,,2.2
outcome,0.5,4,2001,4000,0.34,0.788570564257069,2.2175685405920875,0.10697115384615384,26302.773896664698,12632565.740896424,0.019751259675060192,0.7645170222217093,0.22520117713426166,0.0675,0.34,0.9995743581763971,3,,,,,,,,,2.3
outcome,0.5,4,2001,6000,0.545,0.6349240914560338,2.1959093517303714,0.13942307692307693,25463.563910530575,29897584.725293547,0.003001921957941102,0.8610309850722367,0.41516020019743094,0.08,0.55,0.9994427492882936,3,2.818244369382962,0.9853312100960155,"{""1"": 1.076697850527747, ""0.5"": 0.3533643348134517, ""0.25"": 0.0759188055280097, ""0.125"": 0.006970719423955473, ""0.0625"": 0.0006808595416582433, ""0.03125"": 8.510884136469874e-05}","{""1"": 2.1959093517303714, ""0.5"": 1.0979546758651857, ""0.25"": 0.5489773379325928, ""0.125"": 0.2744886689662964, ""0.0625"": 0.1372443344831482, ""0.03125"": 0.0686221672415741}",3.078543428043895,0.6688162706194927,"{""1"": 25463.56391052408, ""0.5"": 1.4428986659780174, ""0.25"": 0.47704681953918565, ""0.125"": 0.20857438750281956, ""0.0625"": 0.09933391918106402, ""0.03125"": 0.048744401981738864}","{""1"": 2.1959093517303714, ""0.5"": 1.0979546758651857, ""0.25"": 0.5489773379325928, ""0.125"": 0.2744886689662964, ""0.0625"": 0.1372443344831482, ""0.03125"": 0.0686221672415741}",2.4
outcome,0.5,4,2002,0,0.0,0.44717407208258025,0.019926507444186198,0.051682692307692304,4.603340207738448,77.36781741939056,7.802232705171909e-06,0.37029476852858,0.04459842362297936,0.06,0.08,2.2257297451330476e-06,3,,,,,,,,,2.6
outcome,0.5,4,2002,250,0.1375,0.31149928990744385,0.8987975342070569,0.15384615384615385,1.7495692355036012,175.46049858375054,1.4210521955436554e-05,0.2632152632089009,0.03820196932465295,0.075,0.1375,0.9762781592581996,3,,,,,,,,,2.2
outcome,0.5,4,2002,500,0.125,0.2506006517132081,0.903283935665182,0.1814903846153846,1.6366825854213196,195.5375053237146,2.495501206116886e-05,0.2864913894841726,0.04667249738299936,0.085,0.1075,0.9901230850361301,3,,,,,,,,,2.2
outcome,0.5,4,2002,1000,0.1175,0.256261894631428,1.376088417773216,0.15384615384615385,4.201536514203045,528.8653776418629,0.0018223701819628153,0.36925304577346374,0.06662347634606336,0.0775,0.1175,0.9952475972820749,3,,,,,,,,,2.2
outcome,0.5,4,2002,2000,0.2825,0.5109580686801714,1.768683438330916,0.10576923076923077,137.1894941287215,82080.87802446198,0.002312290722391532,0.6710685796791711,0.16950416540316074,0.065,0.28,0.9972285540395829,3,,,,,,,,,2.2
outcome,0.5,4,2002,4000,0.5625,0.45646910988545464,1.9012224235542732,0.15144230769230768,38.7185122443655,16431.70711441508,0.0014254410965754707,0.8131487266593571,0.4284430082494447,0.08,0.5625,0.9995149133068256,3,,,,,,,,,2.3
