example_id,all_local_correct,min_margin,mean_margin,product_gold_prob16,free_exact_trace,free_exact_state_rollout
83,0,-5.250647327397019,2.866823094722349,0.0011966860684499325,0,0
84,1,3.2438254058361053,9.382864869636592,0.8528552298821167,1,1
85,1,3.8122401535511017,7.809931286552455,0.8447251365502356,1,1
86,1,1.8178065419197083,8.604240890757865,0.7550137121920767,1,1
87,0,-1.1249453723430634,3.646367739245761,0.01826264509397185,0,0
88,0,-1.4084526300430298,4.152630669897917,0.04971823020144392,0,0
89,1,2.240634024143219,8.223208338780296,0.8177815232158859,1,1
90,1,2.7501996606588364,7.619342548530767,0.8205532945970205,1,1
91,1,2.7545720040798187,9.471150256814553,0.8052518433403009,1,1
92,0,-2.0000187903642654,5.912035391666905,0.05497830962847804,0,0
93,0,-0.5995396375656128,6.92386131764124,0.3029528277161728,0,0
94,1,1.4999998807907104,8.825608237038182,0.7153619932084334,1,1
95,1,4.008840300142765,8.740450340559846,0.8825914743133111,1,1
96,1,3.2500826083123684,5.0196514946292154,0.7832424183383554,1,1
97,0,-0.09814798831939697,6.592210081504163,0.26073647781783743,0,0
98,1,1.328238844871521,6.667404004109585,0.6328868113643685,1,1
99,1,1.0776503682136536,7.605732152565906,0.6633357429907805,1,1
100,1,0.62474125623703,5.386067264062149,0.3335809927992857,1,1
101,0,-0.7500000298023224,5.667077028256244,0.16246624413113053,0,0
102,1,0.3743090033531189,4.90654747206645,0.311296735550319,1,1
103,1,0.31655657291412354,5.27844052927685,0.3851641940319711,1,1
104,1,0.0902358889579773,6.6552370251956745,0.43742962711149874,0,0
105,1,2.209852874279022,9.076238146564208,0.6376920813595971,1,1
106,0,-0.1255398392677307,5.1588080533820175,0.20890879455091746,0,0
107,0,-0.7531779706478119,5.465134384241537,0.18673677623723955,0,0
108,1,2.1773249953985214,7.146000670780268,0.7845819060668122,1,1
109,1,2.441199392080307,8.267478427426113,0.8466161411461578,1,1
110,1,2.1250053495168686,5.828319582644326,0.7525828188306586,1,1
111,1,1.8027582168579102,8.527976662309356,0.7099700566413133,0,0
112,1,1.6308250427246094,5.631099559594077,0.5823496030594306,1,1
113,1,0.9560980796813965,4.985210770451886,0.4799195126824954,1,1
114,1,4.250000163912773,9.105447627062631,0.9181276755718795,1,1
115,1,4.1849478259682655,8.73223377872364,0.8808777270228357,1,1
116,1,2.3377186954021454,7.386889619929661,0.8123600957100516,1,1
117,0,-0.0054705142974853516,7.398152890778874,0.34730833587717824,0,0
118,0,-0.6250612735748291,5.953649810069692,0.28750907335417647,0,0
119,1,4.120107561349869,9.296304477980584,0.8672880427273301,1,1
120,1,1.749963402748108,4.723149456065585,0.6263902409683587,1,1
121,0,-2.3749998807907104,4.451987939535684,0.03164568987591326,0,0
122,0,-1.2500559091567993,6.586804270410539,0.12111541688538699,0,0
123,1,2.25,6.525631785461883,0.7021933533208807,1,1
124,1,2.5240031331777573,7.296881696393029,0.8197232288001515,1,1
125,1,2.4841492772102356,6.6179105566898215,0.6617749465847158,1,1
126,0,-0.508034348487854,7.967040413594418,0.19855686931907315,0,0
