condition,trace_fraction,depth,seed,step,free_answer_acc,gamma_hat,eps_rule_hat,rule_recovery,credit_mean,credit_max,state_on_set_mass,delta_comp_tv,delta_comp_gold,product_answer_acc,model_answer_acc,answer_on_set_mass,exponent_target,exponent_fit_conditional,exponent_r2_conditional,credit_by_lambda_conditional,eps_by_lambda_conditional,exponent_fit_proportional,exponent_r2_proportional,credit_by_lambda_proportional,eps_by_lambda_proportional,probe_seconds
both,0.5,3,2003,0,0.0,0.18689721794339392,0.0679472180541907,0.0625,1.0803593993896297,10.393309908429199,5.246142031367616e-07,0.29059145708980594,0.03848103124021611,0.0575,0.06,5.191710849498245e-07,2,,,,,,,,,11.0
both,0.5,3,2003,250,0.1225,0.13975273613690528,0.8586942965747036,0.27163461538461536,2.0749425918028868,27.54073861078893,0.9661013871759905,0.19464152993366327,0.03168797448800427,0.1225,0.16,0.9699369780839795,2,,,,,,,,,9.6
both,0.5,3,2003,500,0.13,0.13338954033256373,1.0660095670361034,0.42427884615384615,2.7935494000081733,28.46233820153366,0.9915424154573007,0.24273634488141105,0.04127051330382444,0.135,0.1225,0.9911270366514686,2,,,,,,,,,9.2
both,0.5,3,2003,1000,0.2,0.11373402200624545,1.1887471523227693,0.6358173076923077,5.028162751571285,95.03169054135063,0.994366251637516,0.3868126239709158,0.11296465684035592,0.27,0.1675,0.9968902533817123,2,,,,,,,,,9.3
both,0.5,3,2003,2000,0.3475,0.1151864810339431,1.2850271485965705,0.8882211538461539,1.697478224449566,24.730319162707374,0.9990416273485768,0.5926336006503905,0.4258054902726586,0.76,0.2775,0.9990962639330195,2,,,,,,,,,9.9
both,0.5,3,2003,4000,0.6275,0.010162627825196781,1.022097722095124,1.0,0.9377235672484425,0.9458582502233468,0.999590194773513,0.6218034760572391,0.6217417177451425,1.0,0.45,0.999783251571898,2,,,,,,,,,9.4
both,0.5,3,2003,6000,0.6375,0.036169239678584764,1.09526857167,1.0,0.9438744001650116,1.5938064997386923,0.9998189914046424,0.44308707633579525,0.4354865276138769,1.0,0.635,0.999775917687527,2,1.296081421914173,0.8848820603476263,"{""1"": 0.9464326769846366, ""0.5"": 1.305773935866748, ""0.25"": 0.754855634716686, ""0.125"": 0.22581503413671764, ""0.0625"": 0.0578767338004527, ""0.03125"": 0.014514919490105764}","{""1"": 1.09526857167, ""0.5"": 0.547634285835, ""0.25"": 0.2738171429175, ""0.125"": 0.13690857145875, ""0.0625"": 0.068454285729375, ""0.03125"": 0.0342271428646875}",1.2912680018308447,0.8849485537875803,"{""1"": 0.9438744001650116, ""0.5"": 1.3059151678243666, ""0.25"": 0.7547478507421923, ""0.125"": 0.22598318517926733, ""0.0625"": 0.058141214479372705, ""0.03125"": 0.014775598189821491}","{""1"": 1.09526857167, ""0.5"": 0.547634285835, ""0.25"": 0.2738171429175, ""0.125"": 0.13690857145875, ""0.0625"": 0.068454285729375, ""0.03125"": 0.0342271428646875}",6.6
both,0.5,4,2001,0,0.0,0.18921692811711893,0.015488909831897324,0.0625,0.8909851540678093,17.6131327261958,8.683958267670582e-06,0.2841692937411429,0.033429576071241626,0.0475,0.0825,5.710504933304631e-06,3,,,,,,,,,13.4
both,0.5,4,2001,250,0.12,0.09307473175667523,0.7124087322111162,0.2764423076923077,0.8000910986697188,6.53752559300441,0.9595359551680495,0.14627927865172607,0.0223573465606738,0.1,0.125,0.9646103277531713,3,,,,,,,,,10.0
both,0.5,4,2001,500,0.14,0.11952674945240747,0.9234206196010456,0.3173076923076923,1.7414367065707115,30.917542177761337,0.987827055733193,0.1949365729683307,0.02940480030904172,0.125,0.15,0.9871321219448288,3,,,,,,,,,7.7
both,0.5,4,2001,1000,0.1,0.12367624840592073,1.096607011860105,0.5817307692307693,5.020846487031077,1558.6831576570687,0.995182497685311,0.24112833245910928,0.046599105563759145,0.1575,0.1075,0.996671070167077,3,,,,,,,,,11.5
both,0.5,4,2001,2000,0.2725,0.13355221123466057,1.213221958113893,0.8617788461538461,2.284780740862062,89.06006176660695,0.9980193621096116,0.6800338522834741,0.3947926906765886,0.6275,0.1125,0.9993069301373566,3,,,,,,,,,13.8
both,0.5,4,2001,4000,0.38,0.05244243241714773,1.161785275304675,0.9927884615384616,0.9857234527000328,16.999909789679002,0.9997966492622241,0.8810712082444444,0.8631008344949904,0.9875,0.1325,0.9997850441076562,3,,,,,,,,,13.0
both,0.5,4,2001,6000,0.6325,0.06282837253790433,1.1824395289587744,0.9963942307692307,0.9478730381950712,2.9702602207906033,0.9998335229494324,0.795664330988084,0.7876057696599298,0.99,0.2825,0.9999306666895936,3,2.3505929408133737,0.950045599072622,"{""1"": 0.9484306232400246, ""0.5"": 0.9643201124980222, ""0.25"": 0.21892536399762388, ""0.125"": 0.028840389248633788, ""0.0625"": 0.0036172343931459103, ""0.03125"": 0.0004522498434976944}","{""1"": 1.1824395289587744, ""0.5"": 0.5912197644793872, ""0.25"": 0.2956098822396936, ""0.125"": 0.1478049411198468, ""0.0625"": 0.0739024705599234, ""0.03125"": 0.0369512352799617}",2.1537616208896746,0.9573586080235468,"{""1"": 0.9478730381950712, ""0.5"": 0.9652849848637558, ""0.25"": 0.22011324617237832, ""0.125"": 0.030248481026508334, ""0.0625"": 0.004592153946496949, ""0.03125"": 0.0010099368041863808}","{""1"": 1.1824395289587744, ""0.5"": 0.5912197644793872, ""0.25"": 0.2956098822396936, ""0.125"": 0.1478049411198468, ""0.0625"": 0.0739024705599234, ""0.03125"": 0.0369512352799617}",14.0
